Interwetten0_end,Interwetten0_raw,Interwetten1_end,Interwetten1_raw,Interwetten3_end,Interwetten3_raw,guest,host,league,number,result,score,session,william0_end,william0_raw,william1_end,william1_raw,william3_end,william3_raw
3.80,4.00,3.40,3.40,1.85,1.80,斯旺西,维拉,英超,12001,0,0:2,,4.50,3.75,3.40,3.20,1.83,1.83
2.55,2.55,3.10,3.10,2.55,2.55,斯托克,布莱克,英超,12001,0,1:2,,2.70,2.50,3.20,3.10,2.62,2.50
3.00,3.30,3.20,3.30,2.20,2.00,诺维奇,巡游者,英超,12001,0,1:2,,3.60,3.10,3.20,3.20,2.10,2.05
1.57,1.50,3.60,3.80,5.40,5.70,切尔西,狼队,英超,12001,0,1:2,,1.57,1.44,3.75,3.75,6.00,6.00
1.95,2.00,3.30,3.20,3.50,3.40,阿森纳,富勒姆,英超,12001,3,2:1,,2.00,1.80,3.30,3.30,3.75,3.75
2.40,2.40,3.20,3.20,2.70,2.70,拉齐奥,锡耶纳,意甲,12002,3,4:0,,2.50,2.37,3.10,3.10,2.90,3.10
6.50,7.30,3.90,4.50,1.45,1.35,帕尔马,国米,意甲,12002,3,5:0,,7.50,9.00,3.80,4.20,1.50,1.40
4.60,4.60,3.50,3.50,1.65,1.65,切沃,罗马,意甲,12003,3,2:0,,6.00,6.00,3.75,3.60,1.57,1.60
1.77,1.65,3.40,3.40,4.30,4.80,AC米兰,亚特兰,意甲,12003,0,0:2,,1.73,1.73,3.50,3.50,5.00,5.00
3.00,3.00,3.20,3.20,2.20,2.20,卡塔尼,博洛尼,意甲,12003,3,2:0,,2.90,3.10,3.00,3.10,2.60,2.37
3.10,2.80,3.10,3.20,2.20,2.30,热那亚,卡利亚,意甲,12003,3,3:0,,3.50,3.10,3.10,3.10,2.20,2.37
2.55,2.55,3.20,3.20,2.55,2.55,佛罗伦,诺瓦拉,意甲,12003,0,0:3,,2.50,2.50,3.00,3.10,3.00,2.90
1.55,1.50,3.70,3.90,5.40,5.50,尤文,莱切,意甲,12003,0,0:1,,1.50,1.50,4.00,3.75,7.00,7.50
2.30,2.50,3.20,3.20,2.80,2.60,那不勒,巴勒莫,意甲,12003,0,1:3,,2.20,2.50,3.20,3.10,3.40,2.90
2.55,2.55,3.20,3.20,2.55,2.55,毕尔巴,赫塔费,西甲,12003,1,0:0,,2.62,2.62,3.25,3.25,2.62,2.62
2.40,2.40,3.30,3.30,2.65,2.65,巴伦西,比利亚,西甲,12003,1,2:2,,2.25,2.25,3.40,3.30,3.10,3.20
1.25,1.25,5.00,5.00,10.00,10.00,巴萨,西班人,西甲,12003,1,1:1,,1.22,1.25,6.00,5.50,12.00,12.00
4.00,4.00,3.40,3.40,1.80,1.80,希洪,贝蒂斯,西甲,12003,3,2:0,,4.75,4.00,3.60,3.30,1.73,1.95
2.70,2.70,3.20,3.20,2.40,2.40,埃弗顿,维拉,英超,12004,1,1:1,,3.10,2.80,3.20,2.90,2.30,2.40
2.55,2.55,3.20,3.20,2.55,2.55,富勒姆,布莱克,英超,12004,3,3:1,,2.40,2.45,3.25,3.20,2.90,2.50
7.00,8.50,4.10,4.80,1.40,1.30,桑德兰,切尔西,英超,12004,3,1:0,,8.50,8.00,4.75,4.60,1.36,1.28
6.50,5.50,3.90,3.90,1.45,1.50,斯托克,利物浦,英超,12004,1,0:0,,8.00,6.50,4.00,4.00,1.44,1.40
13.00,13.00,5.80,5.80,1.17,1.17,博尔顿,曼联,英超,12004,3,3:0,,19.00,13.00,6.50,7.00,1.17,1.11
8.50,7.80,4.80,4.60,1.30,1.33,狼队,热刺,英超,12004,1,1:1,,12.00,8.50,5.00,5.50,1.28,1.22
3.30,3.30,3.30,3.30,2.00,2.00,诺维奇,西布罗,英超,12004,0,1:2,,3.80,3.50,3.50,3.50,1.95,2.05
2.30,2.30,3.20,3.20,2.80,2.80,罗马,卡塔尼,意甲,12004,1,1:1,,2.30,2.25,3.20,3.20,3.10,3.25
4.00,4.00,3.40,3.40,1.80,1.80,西班人,塞维利,西甲,12004,1,0:0,,5.00,5.00,3.60,3.40,1.73,1.75
3.00,3.20,3.20,3.20,2.20,2.10,巴列卡,格拉纳,西甲,12004,0,1:2,,3.20,3.20,3.10,3.25,2.30,2.25
2.70,2.70,3.20,3.20,2.40,2.40,赫塔费,萨拉戈,西甲,12004,1,1:1,,2.50,2.87,3.20,3.20,2.87,2.45
1.35,1.22,4.50,5.30,7.30,11.00,皇马,马洛卡,西甲,12004,0,1:2,,1.30,1.25,5.00,5.50,10.00,12.00
7.00,7.30,4.10,4.50,1.40,1.35,社会,巴伦西,西甲,12004,0,0:1,,7.00,8.50,4.33,4.25,1.44,1.40
5.00,5.00,3.60,3.60,1.60,1.60,图卢兹,日尔曼,法甲,12004,3,3:1,,6.00,6.00,3.75,3.60,1.60,1.60
4.40,4.60,3.50,3.50,1.70,1.65,巡游者,纽卡斯,英超,12005,3,1:0,,5.00,4.20,3.50,3.40,1.73,1.70
1.80,1.72,3.40,3.45,4.00,4.40,阿森纳,斯旺西,英超,12005,3,3:2,,1.91,1.61,3.40,3.50,4.00,4.60
3.40,3.40,3.20,3.20,2.00,2.00,诺瓦拉,切塞纳,意甲,12005,3,3:1,,4.00,3.60,3.20,3.20,2.00,2.10
3.20,3.20,3.20,3.20,2.10,2.10,巴勒莫,切沃,意甲,12005,3,1:0,,3.60,3.40,3.20,3.20,2.15,2.20
6.50,6.50,3.90,3.90,1.45,1.45,莱切,佛罗伦,意甲,12005,0,0:1,,8.00,8.50,4.00,4.25,1.44,1.40
3.10,3.10,3.10,3.10,2.20,2.20,锡耶纳,帕尔马,意甲,12005,3,3:1,,4.00,3.25,3.10,3.10,2.05,2.30
2.40,2.40,3.20,3.20,2.70,2.70,乌迪内,热那亚,意甲,12005,3,3:2,,2.45,2.30,3.30,3.10,2.87,3.25
7.80,8.50,4.60,4.80,1.33,1.30,卡利亚,尤文,意甲,12005,1,1:1,,11.00,9.50,4.50,4.75,1.33,1.33
3.10,3.10,3.20,3.20,2.15,2.15,国米,AC米兰,意甲,12005,0,0:1,,3.75,3.50,3.20,3.30,2.05,2.10
4.00,4.30,3.40,3.40,1.80,1.75,桑坦德,奥萨苏,西甲,12005,0,0:2,,4.33,4.50,3.20,3.40,1.91,1.83
4.60,4.40,3.50,3.50,1.65,1.70,莱万特,毕尔巴,西甲,12005,3,3:0,,6.00,5.25,3.75,3.60,1.57,1.67
2.30,2.30,3.20,3.20,2.80,2.80,马拉加,希洪,西甲,12005,3,2:1,,2.30,2.35,3.25,3.25,3.10,3.00
20.00,20.00,7.50,7.50,1.07,1.07,贝蒂斯,巴萨,西甲,12005,3,4:2,,34.00,26.00,10.00,11.00,1.07,1.07
3.40,3.20,3.20,3.10,2.00,2.15,里尔,马赛,法甲,12005,3,2:0,,4.00,3.40,3.20,3.20,2.00,2.20
